Id,año,messem,sem,finicio,ffin
230,2015,S,22,5/24/2015,5/30/2015
231,2015,S,23,5/31/2015,6/6/2015
232,2015,S,24,6/7/2015,6/13/2015
233,2015,S,25,6/14/2015,6/20/2015
234,2015,S,26,6/21/2015,6/27/2015
235,2015,S,27,6/28/2015,7/4/2015
236,2015,S,28,7/5/2015,7/11/2015
237,2015,S,29,7/12/2015,7/18/2015
238,2015,S,30,7/19/2015,7/25/2015
239,2015,S,31,7/26/2015,8/1/2015
240,2015,S,32,8/2/2015,8/8/2015
241,2015,S,33,8/9/2015,8/15/2015
242,2015,S,34,8/16/2015,8/22/2015
243,2015,S,35,8/23/2015,8/29/2015
244,2015,S,36,8/30/2015,9/5/2015
245,2015,S,37,9/6/2015,9/12/2015
246,2015,S,38,9/13/2015,9/19/2015
247,2015,S,39,9/20/2015,9/26/2015
248,2015,S,40,9/27/2015,10/3/2015
249,2015,S,41,10/4/2015,10/10/2015
250,2015,S,42,10/11/2015,10/17/2015
251,2015,S,43,10/18/2015,10/24/2015
252,2015,S,44,10/25/2015,10/31/2015
253,2015,S,45,11/1/2015,11/7/2015
254,2015,S,46,11/8/2015,11/14/2015
255,2015,S,47,11/15/2015,11/21/2015
256,2015,S,48,11/22/2015,11/28/2015
257,2015,S,49,11/29/2015,12/5/2015
258,2015,S,50,12/6/2015,12/12/2015
259,2015,S,51,12/13/2015,12/19/2015
260,2015,S,52,12/20/2015,12/26/2015
261,2016,S,1,12/27/2015,1/2/2016
262,2016,S,2,1/3/2016,1/9/2016
263,2016,S,3,1/10/2016,1/16/2016
264,2016,S,4,1/17/2016,1/23/2016
265,2016,S,5,1/24/2016,1/30/2016
266,2016,S,6,1/31/2016,2/6/2016
267,2016,S,7,2/7/2016,2/13/2016
268,2016,S,8,2/14/2016,2/20/2016
269,2016,S,9,2/21/2016,2/27/2016
270,2016,S,10,2/28/2016,3/5/2016
271,2016,S,11,3/6/2016,3/12/2016
272,2016,S,12,3/13/2016,3/19/2016
273,2016,S,13,3/20/2016,3/26/2016
274,2016,S,14,3/27/2016,4/2/2016
275,2016,S,15,4/3/2016,4/9/2016
276,2016,S,16,4/10/2016,4/16/2016
277,2016,S,17,4/17/2016,4/23/2016
278,2016,S,18,4/24/2016,4/30/2016
279,2016,S,19,5/1/2016,5/7/2016
280,2016,S,20,5/8/2016,5/14/2016
281,2016,S,21,5/15/2016,5/21/2016
282,2016,S,22,5/22/2016,5/28/2016
283,2016,S,23,5/29/2016,6/4/2016
284,2016,S,24,6/5/2016,6/11/2016
285,2016,S,25,6/12/2016,6/18/2016
286,2016,S,26,6/19/2016,6/25/2016
287,2016,S,27,6/26/2016,7/2/2016
288,2016,S,28,7/3/2016,7/9/2016
289,2016,S,29,7/10/2016,7/16/2016
290,2016,S,30,7/17/2016,7/23/2016
291,2016,S,31,7/24/2016,7/30/2016
292,2016,S,32,7/31/2016,8/6/2016
293,2016,S,33,8/7/2016,8/13/2016
294,2016,S,34,8/14/2016,8/20/2016
295,2016,S,35,8/21/2016,8/27/2016
296,2016,S,36,8/28/2016,9/3/2016
297,2016,S,37,9/4/2016,9/10/2016
